Id;Nivel;Ens;Grup;Tut;aval;nasig;nsusp;Q50;IQR;med;std;S
450;4;ESO;B;142;2;12;4;5.0;2.5500000000000007;5.333333333333333;1.6143297699232972;1.6326309271543518
450;4;ESO;B;142;3;13;2;6.0;2.0;5.769230769230769;1.4806443503784736;1.6715952780212544
48;1;BAC;B;212;1;11;3;6.0;2.6000000000000005;5.454545454545454;2.018099916438052;1.7201934592198251
48;1;BAC;B;212;2;11;4;5.0;1.8000000000000007;5.181818181818182;2.522624895547565;1.7677614722893296
48;1;BAC;B;212;3;11;2;5.0;1.0;5.545454545454546;2.46429041972071;1.594166699118017
474;4;ESO;C;143;1;12;6;4.5;1.5499999999999998;4.583333333333333;1.378954368902449;1.3579778549873243
474;4;ESO;C;143;2;12;9;4.0;1.1000000000000005;4.333333333333333;1.6696942198734437;1.4735023850806486
474;4;ESO;C;143;3;13;3;5.0;1.2999999999999998;5.615384615384615;1.6092680291808412;1.4583192224643482
311;2;ESO;C;123;1;12;0;9.0;1.5500000000000007;9.083333333333334;0.996204919895622;1.2366848691405041
311;2;ESO;C;123;2;12;0;9.0;1.1000000000000014;9.0;0.7385489458759964;1.0397207708399179
311;2;ESO;C;123;3;12;0;9.0;0.0;9.0;0.6030226891555273;0.8675632284814612
205;1;ESO;B;112;1;11;0;6.0;0.0;6.2727272727272725;1.009049958219026;0.8855741515766717
205;1;ESO;B;112;2;11;0;7.0;1.0;6.7272727272727275;0.9045340337332909;1.240684291953396
205;1;ESO;B;112;3;11;0;7.0;1.0;6.636363636363637;0.674199862463242;0.9347698978582794
395;3;ESO;C;133;1;13;1;7.0;2.3000000000000007;7.0;1.5811388300841895;1.6977335913743925
395;3;ESO;C;133;2;13;0;7.0;1.3000000000000007;7.461538461538462;1.3301243435223524;1.5247073930301438
395;3;ESO;C;133;3;13;0;8.0;1.6000000000000005;7.615384615384615;1.2608503439122305;1.5247073930301436
282;2;ESO;B;122;1;12;0;7.0;1.0;7.5;1.1677484162422844;1.4241299173467734
282;2;ESO;B;122;2;12;0;7.0;1.0;7.416666666666667;1.1645001528813148;1.3579778549873243
282;2;ESO;B;122;3;12;0;8.0;1.0;7.75;0.7537783614444091;1.0281838593329258
464;4;ESO;C;143;1;12;2;5.0;1.5500000000000007;5.5;1.5666989036012806;1.4735023850806486
464;4;ESO;C;143;2;12;2;6.0;1.0;5.75;1.6025547785276542;1.539654447440098
464;4;ESO;C;143;3;12;0;6.0;2.0;6.25;1.4847711791873706;1.308605387253449
392;3;ESO;C;133;1;13;0;7.0;2.0;7.153846153846154;1.4632243987255136;1.6715952780212544
392;3;ESO;C;133;2;13;1;7.0;2.0;7.0;1.2909944487358056;1.4583192224643482
392;3;ESO;C;133;3;13;0;7.0;1.2999999999999998;7.3076923076923075;1.2506408613597126;1.412744636863848
227;1;ESO;C;113;1;11;4;5.0;2.8000000000000007;5.2727272727272725;1.6787441193290351;1.7677614722893296
227;1;ESO;C;113;2;11;2;6.0;1.0;5.545454545454546;1.572490786213793;1.540305825226517
227;1;ESO;C;113;3;11;1;6.0;2.0;6.0;1.1832159566199232;1.499030672979008
226;1;ESO;C;113;1;11;0;7.0;2.6000000000000005;6.7272727272727275;1.3483997249264843;1.4681399390162087
226;1;ESO;C;113;2;11;1;7.0;1.6000000000000005;6.818181818181818;1.4012980994907414;1.540305825226517
226;1;ESO;C;113;3;11;0;7.0;1.0;7.181818181818182;1.3280197150781925;1.2882523050229002
42;1;BAC;B;212;1;11;1;7.0;2.8;6.636363636363637;1.8040358795061298;1.6417347121875212
42;1;BAC;B;212;2;11;2;7.0;2.8;6.636363636363637;2.013590190318143;1.8462202193216335
42;1;BAC;B;212;3;11;0;7.0;2.0;7.090909090909091;1.5782614139961386;1.7201934592198251
295;2;ESO;C;123;1;12;9;3.0;2.5500000000000007;3.1666666666666665;1.337115846843043;1.4735023850806486
295;2;ESO;C;123;2;12;10;3.0;2.0;2.9166666666666665;1.378954368902449;1.5890269151739727
295;2;ESO;C;123;3;13;10;4.0;2.3000000000000007;3.230769230769231;1.4806443503784736;1.5247073930301436
294;2;ESO;C;123;1;12;2;6.0;2.0;5.916666666666667;1.164500152881315;1.308605387253449
294;2;ESO;C;123;2;12;3;5.0;2.1000000000000005;5.666666666666667;1.6143297699232972;1.6326309271543518
294;2;ESO;C;123;3;12;2;6.5;2.1000000000000005;6.5;1.7320508075688772;1.7045514452672972
24;1;BAC;A;211;1;10;1;7.0;4.0;6.8;1.9321835661585918;1.5047882836811908
24;1;BAC;A;211;2;10;1;7.0;2.0500000000000007;7.1;1.9119507199599983;1.6957425341696346
24;1;BAC;A;211;3;10;1;7.5;2.1000000000000005;7.1;1.66332999331662;1.6957425341696346
289;2;ESO;B;122;1;12;6;4.5;1.5499999999999998;4.416666666666667;1.7298624923456323;1.6326309271543518
289;2;ESO;B;122;2;12;7;4.0;2.5500000000000007;4.083333333333333;1.6213537179739277;1.7045514452672972
289;2;ESO;B;122;3;12;6;4.5;1.5499999999999998;3.9166666666666665;1.5050420310248862;1.198849312913621
487;1;BAC;B;212;1;11;2;6.0;1.0;5.181818181818182;2.0404990476930793;1.594166699118017
487;1;BAC;B;212;2;11;2;6.0;2.8000000000000007;5.818181818181818;1.990888335300693;1.6726254461503207
487;1;BAC;B;212;3;11;1;7.0;2.6000000000000014;6.636363636363637;2.0626549528569855;1.499030672979008
435;4;ESO;B;142;1;12;0;7.5;1.5500000000000007;7.5;1.243163121016122;1.4735023850806486
435;4;ESO;B;142;2;12;0;7.0;0.5500000000000007;7.5;1.243163121016122;0.9830877585747855
435;4;ESO;B;142;3;12;0;7.5;1.0;7.833333333333333;1.1146408580454255;1.0114042647073516
272;2;ESO;A;121;1;12;2;5.5;1.5500000000000007;5.583333333333333;1.7298624923456323;1.6326309271543518
272;2;ESO;A;121;2;12;2;5.0;1.5500000000000007;5.5;1.087114613009218;1.308605387253449
272;2;ESO;A;121;3;12;2;5.0;1.5500000000000007;5.5;1.243163121016122;1.3579778549873245
260;2;ESO;A;121;1;12;0;7.5;2.0;7.75;1.0552897060221726;1.236684869140504
260;2;ESO;A;121;2;12;1;8.0;2.0;7.166666666666667;1.5859229221975182;1.5832584594204766
260;2;ESO;A;121;3;12;0;8.0;2.0;7.916666666666667;0.996204919895622;1.286057336874379
324;3;ESO;A;131;1;13;11;3.0;1.2999999999999998;3.4615384615384617;1.39136531360295;1.438882950216986
324;3;ESO;A;131;2;13;8;4.0;2.0;4.076923076923077;1.4411533842457842;1.5857708352080968
324;3;ESO;A;131;3;14;8;4.0;2.0;4.071428571428571;1.4917354742965405;1.6488470716724795
309;2;ESO;C;123;1;12;1;5.0;1.0;5.666666666666667;1.2309149097933272;1.1988493129136213
309;2;ESO;C;123;2;12;6;4.5;2.0;4.916666666666667;1.5642792899510296;1.6762349391347309
309;2;ESO;C;123;3;12;1;6.0;1.0;5.666666666666667;0.7784989441615229;1.0751393240053735
366;3;ESO;B;132;1;13;3;6.0;2.3;5.769230769230769;1.5358952955766088;1.377819508039033
366;3;ESO;B;132;2;13;3;5.0;1.2999999999999998;5.230769230769231;1.2351684199496948;1.412744636863848
366;3;ESO;B;132;3;13;2;5.0;1.0;5.384615384615385;1.445594545418455;1.5193826646423012
402;3;ESO;C;133;1;13;6;5.0;5.0;4.615384615384615;2.180919589625041;1.5247073930301436
402;3;ESO;C;133;2;13;4;5.0;2.3000000000000007;5.461538461538462;1.941450686788302;1.711845135233912
402;3;ESO;C;133;3;13;2;6.0;2.0;5.846153846153846;1.8187062180825984;1.6715952780212544
274;2;ESO;B;122;1;12;7;4.0;4.1000000000000005;3.8333333333333335;2.443296332763787;1.8636799873410004
274;2;ESO;B;122;2;12;6;4.5;3.55;3.6666666666666665;2.015094553763188;1.539654447440098
