Id;Nivel;Ens;Grup;Tut;aval;nasig;nsusp;Q50;IQR
490;1;ESO;C;113;1;11;10;1.0;1.0
490;1;ESO;C;113;2;5;5;1.0;0.0
490;1;ESO;C;113;3;6;6;1.0;0.0
360;3;ESO;B;132;1;13;0;7.0;1.0
360;3;ESO;B;132;2;13;0;7.0;1.6000000000000005
360;3;ESO;B;132;3;13;0;8.0;2.0
369;3;ESO;B;132;1;13;3;6.0;2.3
369;3;ESO;B;132;2;13;1;6.0;2.3
369;3;ESO;B;132;3;13;0;6.0;2.0
240;1;ESO;B;112;1;10;0;6.0;1.0
240;1;ESO;B;112;2;10;0;6.0;1.0
240;1;ESO;B;112;3;10;0;6.5;2.05
14;1;BAC;A;211;1;11;7;1.0;5.800000000000001
14;1;BAC;A;211;2;11;8;1.0;4.800000000000001
14;1;BAC;A;211;3;11;4;5.0;3.8
354;3;ESO;B;132;1;13;5;5.0;3.3
354;3;ESO;B;132;2;13;4;5.0;2.6000000000000005
354;3;ESO;B;132;3;15;5;5.0;2.0
403;3;ESO;C;133;1;13;0;8.0;1.0
403;3;ESO;C;133;2;13;0;9.0;1.0
403;3;ESO;C;133;3;13;0;9.0;0.0
253;2;ESO;A;121;1;12;1;7.0;2.0
253;2;ESO;A;121;2;12;0;7.0;2.5500000000000007
253;2;ESO;A;121;3;12;0;7.5;2.0
229;1;ESO;C;113;1;11;6;4.0;2.6000000000000005
229;1;ESO;C;113;2;11;9;3.0;1.0
229;1;ESO;C;113;3;11;6;4.0;1.7999999999999998
475;4;ESO;C;143;1;12;1;6.0;1.1000000000000005
475;4;ESO;C;143;2;12;1;6.0;1.5499999999999998
475;4;ESO;C;143;3;12;0;7.0;1.5500000000000007
391;3;ESO;C;133;1;13;0;8.0;2.3
391;3;ESO;C;133;2;13;0;7.0;2.0
391;3;ESO;C;133;3;13;0;7.0;2.0
463;4;ESO;C;143;1;12;3;5.0;1.5499999999999998
463;4;ESO;C;143;2;12;3;5.0;1.5499999999999998
463;4;ESO;C;143;3;13;1;6.0;1.0
364;3;ESO;B;132;1;13;3;6.0;2.3
364;3;ESO;B;132;2;13;1;6.0;0.6000000000000005
364;3;ESO;B;132;3;13;1;6.0;0.2999999999999998
410;4;ESO;A;141;1;12;7;3.0;2.55
410;4;ESO;A;141;2;12;8;4.0;3.5500000000000007
410;4;ESO;A;141;3;14;8;4.0;3.0500000000000007
39;1;BAC;B;212;1;11;0;7.0;1.7999999999999998
39;1;BAC;B;212;2;11;2;7.0;3.0
39;1;BAC;B;212;3;11;0;7.0;2.6000000000000005
29;1;BAC;A;211;1;11;5;5.0;2.8
29;1;BAC;A;211;2;11;6;3.0;2.8000000000000007
29;1;BAC;A;211;3;11;4;5.0;3.0
17;1;BAC;A;211;1;11;3;5.0;1.7999999999999998
17;1;BAC;A;211;2;11;4;5.0;2.6000000000000005
17;1;BAC;A;211;3;11;3;6.0;3.4000000000000004
318;3;ESO;A;131;1;13;4;6.0;3.3000000000000007
318;3;ESO;A;131;2;13;3;6.0;2.3
318;3;ESO;A;131;3;13;1;6.0;1.2999999999999998
233;1;ESO;C;113;1;11;2;6.0;1.8000000000000007
233;1;ESO;C;113;2;11;3;5.0;1.7999999999999998
233;1;ESO;C;113;3;11;1;6.0;1.0
175;1;ESO;A;111;1;11;4;5.0;2.0
175;1;ESO;A;111;2;11;8;4.0;1.6000000000000014
175;1;ESO;A;111;3;11;2;5.0;1.0
292;2;ESO;C;123;1;12;11;3.0;1.5500000000000007
292;2;ESO;C;123;2;12;11;2.5;2.0
292;2;ESO;C;123;3;14;10;3.0;3.0
270;2;ESO;A;121;1;12;3;6.0;2.55
270;2;ESO;A;121;2;12;1;6.0;2.0
270;2;ESO;A;121;3;12;0;6.0;2.0
467;4;ESO;C;143;1;12;0;6.0;2.1000000000000005
467;4;ESO;C;143;2;12;0;6.0;0.5500000000000007
467;4;ESO;C;143;3;12;0;7.0;2.0
6;1;BAC;A;211;1;10;0;6.0;2.1000000000000014
6;1;BAC;A;211;2;10;1;6.0;2.1000000000000014
6;1;BAC;A;211;3;10;0;6.0;3.0500000000000007
374;3;ESO;B;132;1;13;3;6.0;2.3
374;3;ESO;B;132;2;13;0;5.0;1.6000000000000014
374;3;ESO;B;132;3;13;0;6.0;1.3000000000000007
221;1;ESO;B;112;1;10;8;3.0;2.1000000000000005
221;1;ESO;B;112;2;10;7;4.0;2.0
221;1;ESO;B;112;3;10;5;4.0;2.0
214;1;ESO;B;112;1;11;1;6.0;2.0
214;1;ESO;B;112;2;11;2;5.0;2.6000000000000014
214;1;ESO;B;112;3;11;0;6.0;1.0
357;3;ESO;B;132;1;13;5;5.0;2.0
357;3;ESO;B;132;2;13;3;6.0;1.6000000000000005
357;3;ESO;B;132;3;13;1;5.0;1.0
307;2;ESO;C;123;1;12;3;5.0;1.5499999999999998
307;2;ESO;C;123;2;12;5;5.0;2.1000000000000005
307;2;ESO;C;123;3;12;1;5.5;1.0
239;1;ESO;C;113;1;11;1;7.0;1.0
239;1;ESO;C;113;2;11;1;7.0;0.0
239;1;ESO;C;113;3;11;0;7.0;0.8000000000000007
453;4;ESO;B;142;1;10;1;7.0;2.05
453;4;ESO;B;142;2;10;1;7.0;1.0999999999999996
453;4;ESO;B;142;3;10;0;7.5;1.0499999999999998
469;4;ESO;C;143;1;12;2;6.0;2.0
469;4;ESO;C;143;2;12;3;5.5;2.6500000000000012
469;4;ESO;C;143;3;12;0;6.0;1.5500000000000007
291;2;ESO;B;122;1;12;8;3.0;2.55
291;2;ESO;B;122;2;12;9;3.0;2.5500000000000007
291;2;ESO;B;122;3;12;9;2.5;2.5500000000000007
444;4;ESO;B;142;1;12;0;10.0;1.0
444;4;ESO;B;142;2;12;0;10.0;1.0
444;4;ESO;B;142;3;12;0;10.0;0.0
443;4;ESO;B;142;1;12;4;5.0;3.55
443;4;ESO;B;142;2;12;4;6.0;3.1000000000000014
443;4;ESO;B;142;3;13;2;6.0;2.0
281;2;ESO;B;122;1;12;0;8.0;1.0
281;2;ESO;B;122;2;12;0;8.0;1.0
281;2;ESO;B;122;3;12;0;8.0;1.0
350;3;ESO;B;132;1;13;3;6.0;2.3
350;3;ESO;B;132;2;13;2;6.0;2.0
350;3;ESO;B;132;3;13;0;6.0;2.0
449;4;ESO;B;142;1;12;5;5.0;3.1000000000000005
449;4;ESO;B;142;2;12;3;6.0;1.5499999999999998
449;4;ESO;B;142;3;12;0;6.0;1.5500000000000007
372;3;ESO;B;132;1;13;4;5.0;1.3000000000000007
372;3;ESO;B;132;2;13;2;5.0;1.3000000000000007
372;3;ESO;B;132;3;13;2;5.0;1.3000000000000007
27;1;BAC;A;211;1;10;1;6.5;4.0
27;1;BAC;A;211;2;10;0;6.5;4.050000000000001
27;1;BAC;A;211;3;10;0;7.0;4.0
16;1;BAC;A;211;1;11;0;8.0;2.4000000000000004
16;1;BAC;A;211;2;11;0;8.0;1.0
16;1;BAC;A;211;3;11;0;9.0;1.0
290;2;ESO;B;122;1;12;5;5.0;3.5500000000000007
290;2;ESO;B;122;2;12;8;4.0;1.5499999999999998
290;2;ESO;B;122;3;12;3;5.0;1.5499999999999998
234;1;ESO;C;113;1;11;0;7.0;1.0
234;1;ESO;C;113;2;11;0;9.0;1.0
234;1;ESO;C;113;3;11;0;8.0;1.8000000000000007
284;2;ESO;B;122;1;12;0;7.5;1.0
284;2;ESO;B;122;2;12;0;6.5;3.1000000000000005
284;2;ESO;B;122;3;12;0;7.0;1.5499999999999998
351;3;ESO;B;132;1;13;2;5.0;2.3000000000000007
351;3;ESO;B;132;2;13;5;5.0;2.6000000000000005
351;3;ESO;B;132;3;13;0;5.0;3.0
445;4;ESO;B;142;1;12;7;3.5;2.5500000000000007
445;4;ESO;B;142;2;12;9;3.0;2.1000000000000005
445;4;ESO;B;142;3;13;8;3.0;3.0
185;1;ESO;A;111;1;11;3;5.0;0.7999999999999998
185;1;ESO;A;111;2;11;6;4.0;1.7999999999999998
185;1;ESO;A;111;3;11;2;5.0;1.0
396;3;ESO;C;133;1;13;2;6.0;1.0
396;3;ESO;C;133;2;13;2;5.0;1.3000000000000007
396;3;ESO;C;133;3;13;0;5.0;1.3000000000000007
279;2;ESO;B;122;1;12;0;6.5;1.5500000000000007
279;2;ESO;B;122;2;12;2;6.0;2.1000000000000005
279;2;ESO;B;122;3;12;1;6.0;2.1000000000000005
3;1;BAC;A;211;1;10;1;6.0;2.0500000000000007
3;1;BAC;A;211;2;10;2;6.0;3.05
3;1;BAC;A;211;3;10;0;6.0;1.0500000000000007
320;3;ESO;A;131;1;13;0;7.0;1.2999999999999998
320;3;ESO;A;131;2;13;0;8.0;1.3000000000000007
320;3;ESO;A;131;3;13;0;8.0;2.0
286;2;ESO;B;122;1;12;0;7.0;1.5499999999999998
286;2;ESO;B;122;2;12;0;6.5;1.5500000000000007
286;2;ESO;B;122;3;12;0;7.0;1.5500000000000007
20;1;BAC;A;211;1;11;2;8.0;1.7999999999999998
20;1;BAC;A;211;2;11;0;8.0;1.0
20;1;BAC;A;211;3;11;0;8.0;1.7999999999999998
247;1;ESO;C;113;1;11;2;7.0;1.0
247;1;ESO;C;113;2;11;1;5.0;1.8000000000000007
247;1;ESO;C;113;3;11;0;6.0;0.8000000000000007
368;3;ESO;B;132;1;13;7;4.0;3.0
368;3;ESO;B;132;2;13;10;4.0;1.3000000000000007
368;3;ESO;B;132;3;13;5;5.0;1.0
339;3;ESO;A;131;1;13;6;5.0;2.3
339;3;ESO;A;131;2;13;4;5.0;2.0
339;3;ESO;A;131;3;13;6;5.0;2.0
169;1;ESO;A;111;1;11;9;3.0;1.0
169;1;ESO;A;111;2;11;7;4.0;2.0
169;1;ESO;A;111;3;11;4;5.0;1.0
456;4;ESO;B;142;1;12;0;7.0;2.5500000000000007
456;4;ESO;B;142;2;12;0;7.0;0.5500000000000007
456;4;ESO;B;142;3;12;0;7.5;1.5499999999999998
473;4;ESO;C;143;1;12;3;6.0;2.55
473;4;ESO;C;143;2;12;0;6.0;2.1000000000000014
473;4;ESO;C;143;3;12;0;6.0;1.5500000000000007
352;3;ESO;B;132;1;13;0;6.0;1.2999999999999998
352;3;ESO;B;132;2;13;0;6.0;1.6000000000000005
352;3;ESO;B;132;3;13;0;7.0;2.3
174;1;ESO;A;111;1;11;0;7.0;1.8000000000000007
174;1;ESO;A;111;2;11;0;7.0;0.0
174;1;ESO;A;111;3;11;0;8.0;1.0
440;4;ESO;B;142;1;12;0;9.0;1.0
440;4;ESO;B;142;2;12;0;9.0;0.5500000000000007
440;4;ESO;B;142;3;12;0;10.0;0.0
222;1;ESO;B;112;1;11;6;4.0;1.7999999999999998
222;1;ESO;B;112;2;11;0;6.0;1.8000000000000007
222;1;ESO;B;112;3;11;1;5.0;1.0
471;4;ESO;A;141;1;12;1;6.0;2.5500000000000007
471;4;ESO;A;141;2;12;2;6.0;1.5499999999999998
471;4;ESO;A;141;3;12;1;6.0;1.5500000000000007
482;4;ESO;D;144;1;8;0;7.0;3.0
482;4;ESO;D;144;2;8;0;7.0;2.0999999999999996
482;4;ESO;D;144;3;8;0;7.0;1.5499999999999998
61;1;BAC;C;213;1;10;4;5.0;2.2
61;1;BAC;C;213;2;10;4;6.0;4.2
61;1;BAC;C;213;3;10;0;6.0;2.0
236;1;ESO;C;113;1;11;9;4.0;1.7999999999999998
236;1;ESO;C;113;2;11;7;3.0;3.0
236;1;ESO;C;113;3;11;6;4.0;3.8
413;4;ESO;A;141;1;12;7;3.5;3.0
413;4;ESO;A;141;2;12;5;5.0;2.1000000000000014
413;4;ESO;A;141;3;12;5;5.5;4.100000000000001
254;2;ESO;A;121;1;12;0;8.0;1.5499999999999998
254;2;ESO;A;121;2;12;0;8.0;2.0
254;2;ESO;A;121;3;12;0;8.5;1.0
58;1;BAC;C;213;1;11;8;3.0;2.8000000000000007
58;1;BAC;C;213;2;10;10;0.0;0.05000000000000071
58;1;BAC;C;213;3;11;11;0.0;1.0
457;4;ESO;B;142;1;12;0;7.5;2.0
457;4;ESO;B;142;2;12;0;8.0;1.0
457;4;ESO;B;142;3;12;0;8.0;2.0
421;4;ESO;A;141;1;12;8;3.0;3.0
421;4;ESO;A;141;2;12;10;3.0;1.5499999999999998
421;4;ESO;A;141;3;14;9;3.0;2.05
